face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
BM.40955__obverse,OB,free,3,2,5,0.3333333333333333,nan,nan,False,131.2,0.6
BM.40955__obverse,OB,comb,3,5,5,1.0,nan,nan,True,131.2,0.6
BM.40955__obverse,OB,dp,3,5,5,0.6666666666666666,nan,nan,True,131.2,0.6
BM.42260__obverse,OB,free,7,9,7,1.0,0.7777777777777778,0.14349969221210346,False,99.7,1.0
BM.42260__obverse,OB,comb,7,7,7,1.0,1.0,0.14349969221210346,True,99.7,1.0
BM.42260__obverse,OB,dp,7,7,7,1.0,1.0,0.003078428420729333,True,99.7,1.0
BM.42260__reverse,OB,free,2,7,2,1.0,0.2857142857142857,16.6270783847981,False,42.1,1.0
BM.42260__reverse,OB,comb,2,2,2,0.0,0.0,9.168646080760094,True,42.1,1.0
BM.42260__reverse,OB,dp,2,2,2,0.0,0.0,9.168646080760094,True,42.1,1.0
BM.42263__edge,OB,free,2,6,10,1.0,nan,nan,False,95.7,0.2
BM.42263__edge,OB,comb,2,10,10,1.0,nan,nan,True,95.7,0.2
BM.42263__edge,OB,dp,2,10,10,1.0,nan,nan,True,95.7,0.2
BM.42263__obverse,OB,free,6,10,6,1.0,0.6,0.843137254901961,False,112.2,1.0
BM.42263__obverse,OB,comb,6,6,6,0.8333333333333334,0.8333333333333334,0.8342245989304815,True,112.2,1.0
BM.42263__obverse,OB,dp,6,6,6,0.8333333333333334,0.8333333333333334,0.8342245989304815,True,112.2,1.0
BM.42263__reverse,OB,free,3,7,4,1.0,nan,0.8315948491905244,False,84.5,0.75
BM.42263__reverse,OB,comb,3,4,4,1.0,nan,0.008641837200008105,True,84.5,0.75
BM.42263__reverse,OB,dp,3,4,4,1.0,nan,0.9262694054035422,True,84.5,0.75
BM.42264__edge,OB,free,4,10,4,0.75,0.3,nan,False,139.4,1.0
BM.42264__edge,OB,comb,4,4,4,0.25,0.25,nan,True,139.4,1.0
BM.42264__edge,OB,dp,4,4,4,0.25,0.25,nan,True,139.4,1.0
BM.42264__obverse,OB,free,6,9,6,1.0,0.6666666666666666,1.1258516727229584,False,111.7,1.0
BM.42264__obverse,OB,comb,6,6,6,0.8333333333333334,0.8333333333333334,1.1437567756773004,True,111.7,1.0
BM.42264__obverse,OB,dp,6,6,6,0.8333333333333334,0.8333333333333334,1.1527093271544713,True,111.7,1.0
AO.9073__obverse,NA,free,22,4,22,0.18181818181818182,1.0,2.575175403293957,False,108.1,1.0
AO.9073__obverse,NA,comb,22,22,22,0.6818181818181818,0.6818181818181818,0.7263972146523892,True,108.1,1.0
