face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P358712_left,left,5,5,0,0.6,0.647,17,0.01,0.746
P358261_reverse,reverse,7,7,0,0.857,0.409,22,0.025,0.747
P358556_left,left,4,4,0,0.75,0.5,8,0.009,0.747
P359268_obverse,obverse,8,8,0,0.875,0.438,16,0.071,0.747
P390571_obverse,obverse,14,14,0,0.857,0.44,50,0.057,0.747
P359092_reverse,reverse,13,13,0,0.692,0.579,57,0.026,0.748
P359337_left,left,4,4,0,0.5,,3,0.004,0.748
P359116_obverse,obverse,11,11,0,0.727,0.567,30,0.046,0.749
P390567_obverse,obverse,14,14,0,0.786,0.505,91,0.045,0.749
P260352_left,left,2,2,0,0.5,,4,0.0,0.75
P260347_left,left,2,2,0,0.5,0.75,8,0.0,0.75
P273589_left,left,2,2,0,0.5,,4,0.0,0.75
P357505_left,left,2,2,0,0.5,,4,0.0,0.75
P357515_left,left,2,2,0,0.5,,3,0.0,0.75
P357524_left,left,2,2,0,0.5,,3,0.0,0.75
P357550_reverse,reverse,2,2,0,0.5,,2,0.0,0.75
P357613_left,left,2,2,0,0.5,,2,0.0,0.75
P357629_obverse,obverse,21,21,0,0.667,0.62,100,0.035,0.75
P357643_left,left,2,2,0,0.5,,3,0.0,0.75
P357647_left,left,2,2,0,0.5,,4,0.0,0.75
P357672_left,left,2,2,0,0.5,,2,0.0,0.75
P357719_reverse,reverse,2,2,0,0.5,,3,0.0,0.75
P357814_left,left,2,2,0,0.5,,3,0.0,0.75
P358241_left,left,2,2,0,0.5,,3,0.0,0.75
P358274_reverse,reverse,2,2,0,0.5,,3,0.0,0.75
P358428_left,left,2,2,0,0.5,,4,0.0,0.75
P358450_left,left,2,2,0,0.5,,4,0.0,0.75
P358462_left,left,2,2,0,0.5,,2,0.0,0.75
P358490_left,left,2,2,0,0.5,,4,0.0,0.75
P358508_left,left,2,2,0,0.5,,2,0.0,0.75
P358526_reverse,reverse,7,7,0,0.571,0.697,33,0.018,0.75
P358718_left,left,2,2,0,0.5,,4,0.0,0.75
P358722_left,left,2,2,0,0.5,,2,0.0,0.75
P359135_left,left,2,2,0,0.5,,4,0.0,0.75
P359146_obverse,obverse,2,2,0,0.5,,2,0.0,0.75
P359167_left,left,2,2,0,0.5,,4,0.0,0.75
P359228_obverse,obverse,5,5,0,0.6,0.714,7,0.064,0.75
P359231_reverse,reverse,2,2,0,0.5,,4,0.0,0.75
P359292_left,left,2,2,0,0.5,,3,0.0,0.75
P359312_left,left,2,2,0,0.5,,2,0.0,0.75
P359320_left,left,2,2,0,0.5,,2,0.0,0.75
P359389_left,left,2,2,0,0.5,,2,0.0,0.75
P359944_left,left,2,2,0,0.5,0.75,8,0.0,0.75
P359944_right,right,2,2,0,0.5,,2,0.0,0.75
P361055_left,left,2,2,0,0.5,,2,0.0,0.75
P361085_left,left,2,2,0,0.5,,2,0.0,0.75
P361118_left,left,2,2,0,0.5,,3,0.0,0.75
P361299_left,left,2,2,0,0.5,,4,0.0,0.75
P393104_reverse,reverse,2,2,0,0.5,,2,0.0,0.75
P390562_obverse,obverse,9,9,0,0.778,0.541,37,0.064,0.751
P359115_reverse,reverse,9,9,0,0.556,0.733,30,0.032,0.752
P359293_obverse,obverse,15,15,0,0.667,0.625,80,0.035,0.752
P393107_obverse,obverse,7,7,0,0.571,0.727,22,0.043,0.752
P358539_reverse,reverse,13,13,0,0.692,0.6,65,0.035,0.753
P390558_obverse,obverse,14,14,0,0.857,0.441,59,0.038,0.753
P406212_obverse,obverse,10,,,1.0,0.345,29,0.086,0.753
P357785_obverse,obverse,9,9,0,0.556,,4,0.048,0.754
P361056_obverse,obverse,8,8,0,0.5,0.781,32,0.02,0.754
P431272_obverse,obverse,4,,,1.0,0.463,41,0.201,0.754
P357940_obverse,obverse,8,8,0,0.875,0.421,19,0.03,0.755
P359076_obverse,obverse,8,8,0,0.625,0.667,30,0.027,0.755
P361130_obverse,obverse,14,14,0,0.786,0.528,53,0.05,0.755
P273277_reverse,reverse,9,,,0.778,0.571,42,0.081,0.756
P333883_left,left,3,3,0,0.667,0.6,20,0.0,0.756
P358580_obverse,obverse,9,9,0,0.778,0.538,65,0.048,0.756
P359068_left,left,2,2,0,0.5,0.769,13,0.0,0.756
P359086_obverse,obverse,12,12,0,0.667,0.625,24,0.023,0.756
P359148_obverse,obverse,13,13,0,0.538,0.767,30,0.036,0.756
P359180_reverse,reverse,13,13,0,0.692,0.613,62,0.036,0.756
P361167_reverse,reverse,4,,,,,0,0.244,0.756
P358044_obverse,obverse,9,9,0,0.778,0.556,27,0.061,0.757
P358530_obverse,obverse,19,19,0,0.842,0.48,100,0.052,0.757
P361563_obverse,obverse,10,10,0,0.8,0.5,52,0.028,0.757
P260357_obverse,obverse,13,13,0,0.769,0.552,29,0.047,0.758
P333937_obverse,obverse,18,18,0,0.722,0.625,80,0.074,0.758
P358711_reverse,reverse,7,,,0.714,0.75,48,0.19,0.758
P359370_obverse,obverse,12,12,0,0.75,0.568,44,0.044,0.758
P357637_reverse,reverse,7,7,0,0.714,0.571,14,0.01,0.759
P359268_reverse,reverse,6,6,0,0.833,0.467,30,0.023,0.759
P359306_reverse,reverse,4,4,0,0.5,0.8,15,0.024,0.759
P357751_reverse,reverse,5,,,,,0,0.24,0.76
P389659_reverse,reverse,7,,,0.714,0.714,21,0.149,0.76
P389671_reverse,reverse,11,,,0.909,0.487,39,0.115,0.76
P358521_obverse,obverse,13,13,0,0.692,0.629,62,0.039,0.761
P359095_left,left,3,3,0,0.667,0.615,13,0.0,0.761
P359210_obverse,obverse,9,9,0,0.778,0.568,44,0.063,0.761
P361089_obverse,obverse,13,13,0,0.615,0.697,33,0.028,0.761
P250575_obverse,obverse,3,,,1.0,0.544,68,0.259,0.762
P260367_reverse,reverse,5,5,0,0.6,0.721,43,0.034,0.762
P358282_reverse,reverse,3,3,0,0.667,0.667,12,0.048,0.762
P358462_reverse,reverse,8,8,0,0.75,0.583,24,0.046,0.762
P360979_reverse,reverse,5,,,,,0,0.238,0.762
P260355_obverse,obverse,11,11,0,0.727,0.6,25,0.037,0.763
P359209_obverse,obverse,11,11,0,0.818,0.513,39,0.041,0.763
P359328_left,left,3,3,0,0.667,0.632,19,0.009,0.763
P359352_left,left,4,4,0,0.5,0.8,5,0.012,0.763
P361152_obverse,obverse,7,7,0,0.714,0.611,18,0.038,0.763
P361177_reverse,reverse,5,5,0,0.8,0.5,6,0.01,0.763
P357701_reverse,reverse,8,8,0,0.875,0.455,11,0.039,0.764
P357705_obverse,obverse,11,11,0,0.545,,2,0.017,0.764
P358276_reverse,reverse,4,4,0,0.75,0.571,7,0.029,0.764
P359168_reverse,reverse,6,6,0,1.0,0.333,9,0.042,0.764
P361694_reverse,reverse,10,10,0,0.7,0.667,33,0.071,0.765
P389588_reverse,reverse,10,,,0.7,0.667,45,0.071,0.765
P333894_left,left,3,3,0,0.333,1.0,5,0.035,0.766
P358421_obverse,obverse,8,8,0,0.75,0.581,31,0.034,0.766
P358756_left,left,3,3,0,0.667,0.667,6,0.034,0.766
P359338_reverse,reverse,8,8,0,0.75,0.577,26,0.028,0.766
P357340_left,left,2,2,0,0.5,0.8,5,0.0,0.767
P357356_reverse,reverse,19,19,0,0.737,0.61,100,0.047,0.767
P357442_left,left,2,2,0,0.5,0.8,5,0.0,0.767
P357648_reverse,reverse,8,8,0,0.75,0.581,31,0.029,0.767
P357660_left,left,3,3,0,0.667,0.667,9,0.031,0.767
P358464_left,left,2,2,0,0.5,0.8,5,0.0,0.767
P359068_reverse,reverse,21,21,0,0.762,0.602,93,0.062,0.767
P359154_left,left,2,2,0,0.5,0.8,5,0.0,0.767
P390546_left,left,2,2,0,0.5,0.8,5,0.0,0.767
P260397_obverse,obverse,13,13,0,0.846,0.5,22,0.041,0.768
P333915_reverse,reverse,21,21,0,0.667,0.69,71,0.052,0.768
P357512_reverse,reverse,23,23,0,0.739,0.63,100,0.066,0.768
P358202_obverse,obverse,14,14,0,0.643,0.755,49,0.091,0.769
P358214_reverse,reverse,12,12,0,0.75,0.597,67,0.041,0.769
P359134_obverse,obverse,10,10,0,0.7,0.621,29,0.014,0.769
P359197_reverse,reverse,8,8,0,0.875,0.485,33,0.053,0.769
P357504_obverse,obverse,19,19,0,0.842,0.5,100,0.033,0.77
P358584_left,left,4,4,0,0.75,0.591,44,0.03,0.77
P357931_reverse,reverse,12,12,0,0.667,0.676,34,0.031,0.771
P357944_obverse,obverse,14,14,0,0.571,0.778,9,0.036,0.771
P359278_reverse,reverse,14,14,0,0.857,0.489,90,0.032,0.771
P333917_reverse,reverse,16,16,0,0.875,0.486,70,0.045,0.772
P357953_obverse,obverse,7,7,0,0.714,0.633,30,0.031,0.772
P357502_reverse,reverse,11,11,0,0.909,0.435,46,0.026,0.773
